QMTCODE,JJCODE,NAME,CLASS1,CLASS2,CLASS3,CONCEPTIONS,BENCHMARK
000001.SZ,SZSE.000001,平安银行,银行,股份制银行Ⅱ,股份制银行Ⅲ,"HS300_,MSCI中国,标准普尔,富时罗素,互联金融,机构重仓,跨境支付,破净股,区块链,融资融券,深成500,深股通,深证100R,深圳特区,证金持股",B
000002.SZ,SZSE.000002,万  科A,房地产,房地产开发,住宅开发,"AH股,HS300_,MSCI中国,REITs概念,标准普尔,超级品牌,富时罗素,机构重仓,破净股,融资融券,深成500,深股通,深证100R,深圳特区,央视50_,养老概念,证金持股,智能家居,装配建筑,租售同权",B
000035.SZ,SZSE.000035,中国天楹,环保,环境治理,固废治理,"PPP模式,标准普尔,储能,富时罗素,机器人概念,节能环保,垃圾分类,氢能源,人工智能,融资融券,深股通,生物质能发电,新能源,一带一路,医废处理",C
000061.SZ,SZSE.000061,农 产 品,商贸零售,一般零售,商业物业经营,"标准普尔,参股银行,电商概念,富时罗素,区块链,融资融券,深股通,深圳特区,食品安全,网红经济,新零售,央国企改革,证金持股",B
000100.SZ,SZSE.000100,TCL科技,电子,光学光电子,面板,"2025中报预增,AI芯片,AI眼镜,HS300_,MSCI中国,MicroLED,MiniLED,OLED,半导体概念,标准普尔,参股银行,电子纸概念,富时罗素,工业互联,华为概念,机构重仓,绿色电力,屏下摄像,融资融券,柔性屏(折叠屏),商汤概念,深成500,深股通,深证100R,太阳能,小米概念,虚拟现实,证金持股",A
000333.SZ,SZSE.000333,美的集团,家用电器,白色家电,空调,"AH股,HS300_,MSCI中国,标准普尔,参股银行,超级品牌,工业互联,股权激励,国产芯片,鸿蒙概念,机构重仓,净水概念,空气能热泵,茅指数,人形机器人,融资融券,深成500,深股通,深证100R,数据中心,物联网,新能源车,央视50_,液冷概念,医疗器械概念,证金持股,智能家居",B
000338.SZ,SZSE.000338,潍柴动力,汽车,汽车零部件,底盘与发动机系统,"AH股,HS300_,MSCI中国,标准普尔,富时罗素,固态电池,机构重仓,节能环保,氢能源,燃料电池,融资融券,深成500,深股通,深证100R,数据中心,无人驾驶,新能源车,央国企改革,一带一路,证金持股",B
000415.SZ,SZSE.000415,渤海租赁,非银金融,多元金融,租赁,"标准普尔,滨海新区,参股保险,低空经济,富时罗素,机构重仓,破净股,融资融券,深成500,深股通,西部大开发,中证500",B
000425.SZ,SZSE.000425,徐工机械,机械设备,工程机械,工程机械整机,"HS300_,MSCI中国,标准普尔,富时罗素,工程机械概念,工业互联,机构重仓,机器人概念,军工,人工智能,融资融券,深成500,深股通,深证100R,乡村振兴,新能源车,雅下水电概念,央国企改革,一带一路,证金持股",A
000426.SZ,SZSE.000426,兴业银锡,有色金属,工业金属,铅锌,"MSCI中国,标准普尔,富时罗素,融资融券,深成500,深股通,西部大开发,小金属概念,中证500",A
000506.SZ,SZSE.000506,招金黄金,有色金属,贵金属,黄金,"2025中报扭亏,黄金概念,机构重仓,深股通,小金属概念,央国企改革,一带一路",A
000526.SZ,SZSE.000526,学大教育,社会服务,教育,培训教育,"2025中报预增,人工智能,深股通,在线教育,职业教育",C
000560.SZ,SZSE.000560,我爱我家,房地产,房地产服务,房产租赁经纪,"标准普尔,富时罗素,鸿蒙概念,华为概念,破净股,人工智能,融资融券,深股通,西部大开发,租售同权",B
000568.SZ,SZSE.000568,泸州老窖,食品饮料,白酒Ⅱ,白酒Ⅲ,"HS300_,IPO受益,MSCI中国,白酒,百元股,标准普尔,参股券商,超级品牌,成渝特区,富时罗素,基金重仓,机构重仓,茅指数,农业种植,融资融券,深成500,深股通,深证100R,西部大开发,央国企改革,证金持股",B
000576.SZ,SZSE.000576,甘化科工,国防军工,地面兵装Ⅱ,地面兵装Ⅲ,"半导体概念,第三代半导体,军工,碳化硅",A
000589.SZ,SZSE.000589,贵州轮胎,汽车,汽车零部件,轮胎轮毂,"参股银行,破净股,融资融券,深股通,胎压监测,西部大开发,央国企改革",B
000596.SZ,SZSE.000596,古井贡酒,食品饮料,白酒Ⅱ,白酒Ⅲ,"AB股,HS300_,MSCI中国,白酒,百元股,标准普尔,富时罗素,机构重仓,融资融券,深成500,深股通,深证100R,央国企改革,央视50_",B
000600.SZ,SZSE.000600,建投能源,公用事业,电力,火力发电,"2025三季报预增,2025中报预增,标准普尔,风能,富时罗素,核能核电,京津冀,绿色电力,氢能源,融资融券,深股通,水利建设,太阳能,碳交易,雄安新区,央国企改革,养老金,证金持股",C
000603.SZ,SZSE.000603,盛达资源,有色金属,工业金属,铅锌,"标准普尔,富时罗素,黄金概念,融资融券,深股通,昨日涨停,昨日涨停_含一字",A
000625.SZ,SZSE.000625,长安汽车,汽车,乘用车,综合乘用车,"AB股,HS300_,MSCI中国,百度概念,标准普尔,参股券商,车联网(车路云),成渝特区,独角兽,飞行汽车(eVTOL),富时罗素,股权激励,固态电池,华为概念,华为汽车,机构重仓,氢能源,燃料电池,人工智能,人形机器人,融资融券,深成500,深股通,深证100R,无人驾驶,西部大开发,新能源车,央国企改革,元宇宙概念,证金持股,锂电池",B
000630.SZ,SZSE.000630,铜陵有色,有色金属,工业金属,铜,"5G概念,HS300_,MSCI中国,标准普尔,富时罗素,黄金概念,融资融券,深成500,深股通,稀缺资源,新材料,央国企改革,养老金,昨日涨停,昨日涨停_含一字,锂电池",A
000651.SZ,SZSE.000651,格力电器,家用电器,白色家电,空调,"HS300_,MSCI中国,标准普尔,超级品牌,储能,工业母机,国产芯片,机构重仓,机器人概念,净水概念,空气能热泵,茅指数,融资融券,深成500,深股通,深证100R,太阳能,特斯拉,新零售,新能源车,央视50_,粤港自贸,证金持股,职业教育,智能家居,锂电池",B
000657.SZ,SZSE.000657,中钨高新,有色金属,小金属,钨,"PCB,创投,富时罗素,富士康,工业母机,海南自贸,可控核聚变,融资融券,深成500,深股通,小金属概念,新材料,央国企改革,养老金,医疗器械概念,中证500",A
000661.SZ,SZSE.000661,长春高新,医药生物,生物制品,其他生物制品,"AI制药（医疗）,AI智能体,HS300_,MSCI中国,标准普尔,病毒防治,参股新三板,创新药,单抗概念,东北振兴,痘病毒防治,辅助生殖,富时罗素,流感,融资融券,深成500,深股通,深证100R,生物疫苗,央国企改革,证金持股,中药概念",B
000690.SZ,SZSE.000690,宝新能源,公用事业,电力,火力发电,"2025中报预增,标准普尔,参股券商,超超临界发电,创投,风能,富时罗素,海洋经济,绿色电力,破净股,融资融券,深股通,新能源",C
000719.SZ,SZSE.000719,中原传媒,传媒,出版,大众出版,"2025中报预增,AI语料,NFT概念,电商概念,东数西算,富时罗素,融资融券,深股通,数据要素,数字阅读,央国企改革,在线教育,职业教育",A
